name,attack,defense,cost,type,text
Aven Farseer,1,1,{1}{W},Creature - Bird Soldier,"Flying$Whenever a permanent is turned face up , put a +1/+1 counter on Aven Farseer ."
Dragon Tyrant,6,6,{8}{R}{R},Creature - Dragon,"Flying , trample$Double strike < i > (This creature deals both first-strike and regular combat damage . ) < /i > $At the beginning of your upkeep , sacrifice Dragon Tyrant unless you pay { R}{R}{R}{R } . ${R }: Dragon Tyrant gets +1/+0 until end of turn ."
Noble Templar,6,3,{5}{W},Creature - Human Cleric Soldier,"Vigilance$Plainscycling { 2 } < i > ({2 } , Discard this card : Search your library for a Plains card , reveal it , and put it into your hand . Then shuffle your library . ) < /i >"
Tendrils of Agony,,,{2}{B}{B},Sorcery,"Target player loses 2 life and you gain 2 life . $Storm < i > (When you cast this spell , copy it for each spell cast before it this turn . You may choose new targets for the copies . ) < /i >"
Ancestral Memories,,,{2}{U}{U}{U},Sorcery,Look at the top seven cards of your library . Put two of them into your hand and the rest into your graveyard .
Grapeshot Catapult,3,2,{4},Artifact Creature - Construct,{ tap }: Grapeshot Catapult deals 1 damage to target creature with flying .
Pyrotechnics,,,{4}{R},Sorcery,Pyrotechnics deals 4 damage divided as you choose among any number of target creatures and/or players .
Thoughtleech,,,{G}{G},Enchantment,"Whenever an Island an opponent controls becomes tapped , you may gain 1 life ."
Barrenton Medic,4,0,{4}{W},Creature - Kithkin Cleric,{ tap }: Prevent the next 1 damage that would be dealt to target creature or player this turn . $Put a -1/-1 counter on Barrenton Medic : Untap Barrenton Medic .
Cinderhaze Wretch,2,3,{4}{B},Creature - Elemental Shaman,{ tap }: Target player discards a card . Activate this ability only during your turn . $Put a -1/-1 counter on Cinderhaze Wretch : Untap Cinderhaze Wretch .
Dream Salvage,,,{UB},Instant,Draw cards equal to the number of cards target opponent discarded this turn .
Flow of Ideas,,,{5}{U},Sorcery,Draw a card for each Island you control .
Grief Tyrant,8,8,{5}{BR},Creature - Horror,"Grief Tyrant enters the battlefield with four -1/-1 counters on it . $When Grief Tyrant dies , put a -1/-1 counter on target creature for each -1/-1 counter on Grief Tyrant ."
Kinscaer Harpoonist,2,2,{3}{U},Creature - Kithkin Soldier,"Flying$Whenever Kinscaer Harpoonist attacks , you may have target creature lose flying until end of turn ."
Medicine Runner,1,2,{1}{GW},Creature - Elf Cleric,"When Medicine Runner enters the battlefield , you may remove a counter from target permanent ."
Nurturer Initiate,1,1,{G},Creature - Elf Shaman,"Whenever a player casts a green spell , you may pay { 1 } . If you do , target creature gets +1/+1 until end of turn ."
Puppeteer Clique,2,3,{3}{B}{B},Creature - Faerie Wizard,"Flying$When Puppeteer Clique enters the battlefield , put target creature card from an opponent's graveyard onto the battlefield under your control . It gains haste . At the beginning of your next end step , exile it . $Persist < i > (When this creature dies , if it had no -1/-1 counters on it , return it to the battlefield under its owner's control with a -1/-1 counter on it . ) < /i >"
Runed Halo,,,{W}{W},Enchantment,"As Runed Halo enters the battlefield , name a card . $You have protection from the chosen name . < i > (You can't be targeted , dealt damage , or enchanted by anything with that name . ) < /i >"
Slinking Giant,4,4,{2}{R}{R},Creature - Giant Rogue,"Wither < i > (This deals damage to creatures in the form of -1/-1 counters . ) < /i > $Whenever Slinking Giant blocks or becomes blocked , it gets -3/-0 until end of turn ."
Thistledown Duo,2,2,{2}{WU},Creature - Kithkin Soldier Wizard,"Whenever you cast a white spell , Thistledown Duo gets +1/+1 until end of turn . $Whenever you cast a blue spell , Thistledown Duo gains flying until end of turn ."
Whimwader,4,6,{4}{U},Creature - Elemental,Whimwader can't attack unless defending player controls a blue permanent .
Algae Gharial,1,1,{3}{G},Creature - Crocodile,"Shroud$Whenever another creature dies , you may put a +1/+1 counter on Algae Gharial ."
Broodmate Dragon,4,4,{3}{B}{R}{G},Creature - Dragon,"Flying$When Broodmate Dragon enters the battlefield , put a 4/4 red Dragon creature token with flying onto the battlefield ."
Dawnray Archer,1,1,{2}{U},Creature - Human Archer,"Exalted < i > (Whenever a creature you control attacks alone , that creature gets +1/+1 until end of turn . ) < /i > ${W } , { tap }: Dawnray Archer deals 1 damage to target attacking or blocking creature ."
Ethersworn Canonist,2,2,{1}{W},Artifact Creature - Human Cleric,Each player who has cast a nonartifact spell this turn can't cast additional nonartifact spells .
Grixis Panorama,,,,Land,"{ tap }: Add { C } to your mana pool . ${1 } , { tap } , Sacrifice Grixis Panorama : Search your library for a basic Island , Swamp , or Mountain card and put it onto the battlefield tapped . Then shuffle your library ."
Kederekt Leviathan,5,5,{6}{U}{U},Creature - Leviathan,"When Kederekt Leviathan enters the battlefield , return all other nonland permanents to their owners ' hands . $Unearth { 6}{U } < i > ({6}{U }: Return this card from your graveyard to the battlefield . It gains haste . Exile it at the beginning of the next end step or if it would leave the battlefield . Unearth only as a sorcery . ) < /i >"
Mosstodon,3,5,{4}{G},Creature - Plant Elephant,{ 1 }: Target creature with power 5 or greater gains trample until end of turn .
Qasali Ambusher,3,2,{1}{G}{W},Creature - Cat Warrior,"Reach$If a creature is attacking you and you control a Forest and a Plains , you may cast Qasali Ambusher without paying its mana cost and as though it had flash ."
Sanctum Gargoyle,3,2,{3}{W},Artifact Creature - Gargoyle,"Flying$When Sanctum Gargoyle enters the battlefield , you may return target artifact card from your graveyard to your hand ."
Skeletonize,,,{4}{R},Instant,"Skeletonize deals 3 damage to target creature . When a creature dealt damage this way dies this turn , put a 1/1 black Skeleton creature token onto the battlefield with "" { B }: Regenerate this creature . """
Thunder-Thrash Elder,1,1,{2}{R},Creature - Viashino Warrior,"Devour 3 < i > (As this enters the battlefield , you may sacrifice any number of creatures . This creature enters the battlefield with three times that many +1/+1 counters on it . ) < /i >"
Windwright Mage,2,2,{W}{U}{B},Artifact Creature - Human Wizard,Lifelink < i > (Damage dealt by this creature also causes you to gain that much life . ) < /i > $Windwright Mage has flying as long as an artifact card is in your graveyard .
Dakmor Sorceress,4,*,{5}{B},Creature - Human Wizard,Dakmor Sorceress's power is equal to the number of Swamps you control .
Wind Sail,,,{1}{U},Sorcery,One or two target creatures gain flying until end of turn .
Corrupting Licid,2,2,{2}{B},Creature - Licid,"{ B } , { tap }: Corrupting Licid loses this ability and becomes an Aura enchantment with enchant creature . Attach it to target creature . You may pay { B } to end this effect . $Enchanted creature has fear . < i > (It can't be blocked except by artifact creatures and/or black creatures . ) < /i >"
Hermit Druid,1,1,{1}{G},Creature - Human Druid,"{ G } , { tap }: Reveal cards from the top of your library until you reveal a basic land card . Put that card into your hand and all other cards revealed this way into your graveyard ."
Rabid Rats,1,1,{1}{B},Creature - Rat,{ tap }: Target blocking creature gets -1/-1 until end of turn .
Stronghold Taskmaster,3,4,{2}{B}{B},Creature - Giant Minion,Other black creatures get -1/-1 .
Ancient Runes,,,{2}{R},Enchantment,"At the beginning of each player's upkeep , Ancient Runes deals damage to that player equal to the number of artifacts he or she controls ."
Canopy Spider,3,1,{1}{G},Creature - Spider,Reach < i > (This creature can block creatures with flying . ) < /i >
Dark Banishing,,,{2}{B},Instant,Destroy target nonblack creature . It can't be regenerated .
Elite Javelineer,2,2,{2}{W},Creature - Human Soldier,"Whenever Elite Javelineer blocks , it deals 1 damage to target attacking creature ."
Fool's Tome,,,{4},Artifact,"{ 2 } , { tap }: Draw a card . Activate this ability only if you have no cards in hand ."
Hero's Resolve,,,{1}{W},Enchantment - Aura,Enchant creature$Enchanted creature gets +1/+5 .
Lobotomy,,,{2}{U}{B},Sorcery,"Target player reveals his or her hand , then you choose a card other than a basic land card from it . Search that player's graveyard , hand , and library for all cards with the same name as the chosen card and exile them . Then that player shuffles his or her library ."
Mogg Hollows,,,,Land,{ tap }: Add { C } to your mana pool . ${tap }: Add { R } or { G } to your mana pool . Mogg Hollows doesn't untap during your next untap step .
Propaganda,,,{2}{U},Enchantment,Creatures can't attack you unless their controller pays { 2 } for each creature he or she controls that's attacking you .
Ruby Medallion,,,{2},Artifact,Red spells you cast cost { 1 } less to cast .
Shadow Rift,,,{U},Instant,Target creature gains shadow until end of turn . < i > (It can block or be blocked by only creatures with shadow . ) < /i > $Draw a card .
Spontaneous Combustion,,,{1}{B}{R},Instant,"As an additional cost to cast Spontaneous Combustion , sacrifice a creature . $Spontaneous Combustion deals 3 damage to each creature ."
Torture Chamber,,,{3},Artifact,"At the beginning of your upkeep , put a pain counter on Torture Chamber . $At the beginning of your end step , Torture Chamber deals damage to you equal to the number of pain counters on it . ${1 } , { tap } , Remove all pain counters from Torture Chamber : Torture Chamber deals damage to target creature equal to the number of pain counters removed this way ."
Avenging Angel,3,3,{3}{W}{W},Creature - Angel,"Flying$When Avenging Angel dies , you may put it on top of its owner's library ."
Revenant,*,*,{4}{B},Creature - Spirit,Flying$Revenant's power and toughness are each equal to the number of creature cards in your graveyard .
Wayward Soul,2,3,{2}{U}{U},Creature - Spirit,Flying${U }: Put Wayward Soul on top of its owner's library .
Beacon of Destruction,,,{3}{R}{R},Instant,Beacon of Destruction deals 5 damage to target creature or player . Shuffle Beacon of Destruction into its owner's library .
Crucible of Worlds,,,{3},Artifact,You may play land cards from your graveyard .
Elvish Champion,2,2,{1}{G}{G},Creature - Elf,Other Elf creatures get +1/+1 and have forestwalk . < i>(They're unblockable as long as defending player controls a Forest . ) < /i >
Goblin Elite Infantry,2,2,{1}{R},Creature - Goblin Warrior,"Whenever Goblin Elite Infantry blocks or becomes blocked , it gets -1/-1 until end of turn ."
Juggernaut,3,5,{4},Artifact Creature - Juggernaut,Juggernaut attacks each turn if able . $Juggernaut can't be blocked by Walls .
Mind Stone,,,{2},Artifact,"{ tap }: Add { C } to your mana pool . ${1 } , { tap } , Sacrifice Mind Stone : Draw a card ."
Puppeteer,2,1,{2}{U},Creature - Human Wizard,"{ U } , { tap }: You may tap or untap target creature ."
Rule of Law,,,{2}{W},Enchantment,Each player can't cast more than one spell each turn .
Sky Weaver,1,2,{1}{U},Creature - Metathran Wizard,{ 2 }: Target white or black creature gains flying until end of turn . < i > (It can't be blocked except by creatures with flying or reach . ) < /i >
Terramorphic Expanse,,,,Land,"{ tap } , Sacrifice Terramorphic Expanse : Search your library for a basic land card and put it onto the battlefield tapped . Then shuffle your library ."
Viridian Shaman,2,2,{2}{G},Creature - Elf Shaman,"When Viridian Shaman enters the battlefield , destroy target artifact ."
Drowned,1,1,{1}{U},Creature - Zombie,{ B }: Regenerate Drowned .
Rag Man,1,2,{2}{B}{B},Creature - Human Minion,"{ B}{B}{B } , { tap }: Target opponent reveals his or her hand and discards a creature card at random . Activate this ability only during your turn ."
Anvilwrought Raptor,1,2,{4},Artifact Creature - Bird,"Flying , first strike"
Breaching Hippocamp,2,3,{3}{U},Creature - Horse Fish,"Flash < i > (You may cast this spell any time you could cast an instant . ) < /i > $When Breaching Hippocamp enters the battlefield , untap another target creature you control ."
Deathbellow Raider,3,2,{1}{R},Creature - Minotaur Berserker,Deathbellow Raider attacks each turn if able . ${2}{B }: Regenerate Deathbellow Raider .
Firedrinker Satyr,1,2,{R},Creature - Satyr Shaman,"Whenever Firedrinker Satyr is dealt damage , it deals that much damage to you . ${1}{R }: Firedrinker Satyr gets +1/+0 until end of turn and deals 1 damage to you ."
Hunt the Hunter,,,{G},Sorcery,Target green creature you control gets +2/+2 until end of turn . It fights target green creature an opponent controls .
Minotaur Skullcleaver,2,2,{2}{R},Creature - Minotaur Berserker,"Haste$When Minotaur Skullcleaver enters the battlefield , it gets +2/+0 until end of turn ."
Peak Eruption,,,{2}{R},Sorcery,Destroy target Mountain . Peak Eruption deals 3 damage to that land's controller .
Read the Bones,,,{2}{B},Sorcery,"Scry 2 , then draw two cards . You lose 2 life . < i > (To scry 2 , look at the top two cards of your library , then put any number of them on the bottom of your library and the rest on top in any order . ) < /i >"
Silent Artisan,5,3,{3}{W}{W},Creature - Giant,
Thassa's Bounty,,,{5}{U},Sorcery,Draw three cards . Target player puts the top three cards of his or her library into his or her graveyard .
Vulpine Goliath,5,6,{4}{G}{G},Creature - Fox,Trample
Bewilder,,,{2}{U},Instant,Target creature gets -3/-0 until end of turn . $Draw a card .
Deep-Sea Kraken,6,6,{7}{U}{U}{U},Creature - Kraken,"Deep-Sea Kraken is unblockable . $Suspend 9-{2}{U } < i > (Rather than cast this card from your hand , you may pay { 2}{U } and exile it with nine time counters on it . At the beginning of your upkeep , remove a time counter . When the last is removed , cast it without paying its mana cost . It has haste . ) < /i > $Whenever an opponent casts a spell , if Deep-Sea Kraken is suspended , remove a time counter from it ."
Flagstones of Trokair,,,,Legendary Land,"{ tap }: Add { W } to your mana pool . $When Flagstones of Trokair is put into a graveyard from the battlefield , you may search your library for a Plains card and put it onto the battlefield tapped . If you do , shuffle your library ."
Greenseeker,1,1,{G},Creature - Elf Spellshaper,"{ G } , { tap } , Discard a card : Search your library for a basic land card , reveal it , and put it into your hand . Then shuffle your library ."
Lim-Dul the Necromancer,4,4,{5}{B}{B},Legendary Creature - Human Wizard,"Whenever a creature an opponent controls dies , you may pay { 1}{B } . If you do , return that card to the battlefield under your control . If it's a creature , it's a Zombie in addition to its other creature types . ${1}{B }: Regenerate target Zombie ."
Mystical Teachings,,,{3}{U},Instant,"Search your library for an instant card or a card with flash , reveal it , and put it into your hand . Then shuffle your library . $Flashback { 5}{B } < i > (You may cast this card from your graveyard for its flashback cost . Then exile it . ) < /i >"
Pull from Eternity,,,{W},Instant,Put target face-up exiled card into its owner's graveyard .
Sidewinder Sliver,1,1,{W},Creature - Sliver,"All Sliver creatures have flanking . < i > (Whenever a creature without flanking blocks a Sliver , the blocking creature gets -1/-1 until end of turn . ) < /i >"
Sudden Shock,,,{1}{R},Instant,"Split second < i > (As long as this spell is on the stack , players can't cast spells or activate abilities that aren't mana abilities . ) < /i > $Sudden Shock deals 2 damage to target creature or player ."
Two-Headed Sliver,1,1,{1}{R},Creature - Sliver,"All Sliver creatures have "" This creature can't be blocked except by two or more creatures . """
Arena,,,,Land,"{ 3 } , { tap }: Tap target creature you control and target creature of an opponent's choice he or she controls . Those creatures fight each other . < i > (Each deals damage equal to its power to the other . ) < /i >"
Krosan Cloudscraper,13,13,{7}{G}{G}{G},Creature - Beast Mutant,"At the beginning of your upkeep , sacrifice Krosan Cloudscraper unless you pay { G}{G } . $Morph { 7}{G}{G } < i > You may cast this card face downn as a 2/2 creature for { 3 } . Turn it face up any time for its morph cost . ) < /i >"
Wall of Roots,5,0,{1}{G},Creature - Plant Wall,Defender$Put a -0/-1 counter on Wall of Roots : Add { G } to your mana pool . Activate this ability only once each turn .
Cephalid Illusionist,1,1,{1}{U},Creature - Cephalid Wizard,"Whenever Cephalid Illusionist becomes the target of a spell or ability , put the top three cards of your library into your graveyard . ${2}{U } , { tap }: Prevent all combat damage that would be dealt to and dealt by target creature you control this turn ."
Gravegouger,2,2,{2}{B},Creature - Nightmare Horror,"When Gravegouger enters the battlefield , exile up to two target cards from a single graveyard . $When Gravegouger leaves the battlefield , return the exiled cards to their owner's graveyard ."
Nantuko Blightcutter,2,2,{2}{G},Creature - Insect Druid,Protection from black$Threshold - Nantuko Blightcutter gets +1/+1 for each black permanent your opponents control as long as seven or more cards are in your graveyard .
Radiate,,,{3}{R}{R},Instant,Choose target instant or sorcery spell that targets only a single permanent or player . Copy that spell for each other permanent or player the spell could target . Each copy targets a different one of those permanents and players .
Vengeful Dreams,,,{W}{W},Instant,"As an additional cost to cast Vengeful Dreams , discard X cards . $Exile X target attacking creatures ."
Attrition,,,{1}{B}{B},Enchantment,"{ B } , Sacrifice a creature : Destroy target nonblack creature ."
Extruder,3,4,{4},Artifact Creature - Juggernaut,"Echo { 4 } < i > (At the beginning of your upkeep , if this came under your control since the beginning of your last upkeep , sacrifice it unless you pay its echo cost . ) < /i > $Sacrifice an artifact : Put a +1/+1 counter on target creature ."
Mask of Law and Grace,,,{W},Enchantment - Aura,Enchant creature$Enchanted creature has protection from black and from red .
Serra Advocate,2,2,{3}{W},Creature - Angel,Flying${tap }: Target attacking or blocking creature gets +2/+2 until end of turn .
Angelic Curator,1,1,{1}{W},Creature - Angel Spirit,"Flying , protection from artifacts"
Deranged Hermit,1,1,{3}{G}{G},Creature - Elf,"Echo { 3}{G}{G } < i > (At the beginning of your upkeep , if this came under your control since the beginning of your last upkeep , sacrifice it unless you pay its echo cost . ) < /i > $When Deranged Hermit enters the battlefield , put four 1/1 green Squirrel creature tokens onto the battlefield . $Squirrel creatures get +1/+1 ."
Iron Maiden,,,{3},Artifact,"At the beginning of each opponent's upkeep , Iron Maiden deals X damage to that player , where X is the number of cards in his or her hand minus 4 ."
Parch,,,{1}{R},Instant,Choose one - Parch deals 2 damage to target creature or player ; or Parch deals 4 damage to target blue creature .
Repopulate,,,{1}{G},Instant,"Shuffle all creature cards from target player's graveyard into that player's library . $Cycling { 2 } < i > ({2 } , Discard this card : Draw a card . ) < /i >"
Ticking Gnomes,3,3,{3},Artifact Creature - Gnome,"Echo { 3 } < i > (At the beginning of your upkeep , if this came under your control since the beginning of your last upkeep , sacrifice it unless you pay its echo cost . ) < /i > $Sacrifice Ticking Gnomes : Ticking Gnomes deals 1 damage to target creature or player ."
Acidic Soil,,,{2}{R},Sorcery,Acidic Soil deals damage to each player equal to the number of lands he or she controls .
Blood Vassal,2,2,{2}{B},Creature - Thrull,Sacrifice Blood Vassal : Add { B}{B } to your mana pool .
Confiscate,,,{4}{U}{U},Enchantment - Aura,Enchant permanent < i > (Target a permanent as you cast this . This card enters the battlefield attached to that permanent . ) < /i > $You control enchanted permanent .
Elvish Herder,1,1,{G},Creature - Elf,{ G }: Target creature gains trample until end of turn .
Gamble,,,{R},Sorcery,"Search your library for a card , put that card into your hand , discard a card at random , then shuffle your library ."
Hollow Dogs,3,3,{4}{B},Creature - Zombie Hound,"Whenever Hollow Dogs attacks , it gets +2/+0 until end of turn ."
Monk Idealist,2,2,{2}{W},Creature - Human Monk Cleric,"When Monk Idealist enters the battlefield , return target enchantment card from your graveyard to your hand ."
Planar Birth,,,{1}{W},Sorcery,Return all basic land cards from all graveyards to the battlefield tapped under their owners ' control .
Rune of Protection: Lands,,,{1}{W},Enchantment,"{ W }: The next time a land source of your choice would deal damage to you this turn , prevent that damage . $Cycling { 2 } < i > ({2 } , Discard this card : Draw a card . ) < /i >"
Slippery Karst,,,,Land,"Slippery Karst enters the battlefield tapped . ${tap }: Add { G } to your mana pool . $Cycling { 2 } < i > ({2 } , Discard this card : Draw a card . ) < /i >"
Torch Song,,,{2}{R},Enchantment,"At the beginning of your upkeep , you may put a verse counter on Torch Song . ${2}{R } , Sacrifice Torch Song : Torch Song deals X damage to target creature or player , where X is the number of verse counters on Torch Song ."
Winding Wurm,6,6,{4}{G},Creature - Wurm,"Echo { 4}{G } < i > (At the beginning of your upkeep , if this came under your control since the beginning of your last upkeep , sacrifice it unless you pay its echo cost . ) < /i >"
Chainer's Edict,,,{1}{B},Sorcery,Target player sacrifices a creature . $Flashback { 5}{B}{B } < i > (You may cast this card from your graveyard for its flashback cost . Then exile it . ) < /i >
Hulking Goblin,2,2,{1}{R},Creature - Goblin,Hulking Goblin can't block .
Reign of the Pit,,,{4}{B}{B},Sorcery,"Each player sacrifices a creature . Put an X/X black Demon creature token with flying onto the battlefield , where X is the total power of the creatures sacrificed this way ."
Betrayal,,,{U},Enchantment - Aura,"Enchant creature an opponent controls$Whenever enchanted creature becomes tapped , you draw a card ."
Freewind Falcon,1,1,{1}{W},Creature - Bird,"Flying , protection from red"
Natural Order,,,{2}{G}{G},Sorcery,"As an additional cost to cast Natural Order , sacrifice a green creature . $Search your library for a green creature card and put it onto the battlefield . Then shuffle your library ."
Solfatara,,,{2}{R},Instant,Target player can't play land cards this turn . $Draw a card at the beginning of the next turn's upkeep .
Alms,,,{W},Enchantment,"{ 1 } , Exile the top card of your graveyard : Prevent the next 1 damage that would be dealt to target creature this turn ."
Dwarven Berserker,1,1,{1}{R},Creature - Dwarf Berserker,"Whenever Dwarven Berserker becomes blocked , it gets +3/+0 and gains trample until end of turn ."
Lotus Vale,,,,Land,"If Lotus Vale would enter the battlefield , sacrifice two untapped lands instead . If you do , put Lotus Vale onto the battlefield . If you don't , put it into its owner's graveyard . ${tap }: Add three mana of any one color to your mana pool ."
Relearn,,,{1}{U}{U},Sorcery,Return target instant or sorcery card from your graveyard to your hand .
Vodalian Illusionist,2,2,{2}{U},Creature - Merfolk Wizard,"{ U}{U } , { tap }: Target creature phases out . < i > (While it's phased out , it's treated as though it doesn't exist . It phases in before its controller untaps during his or her next untap step . ) < /i >"
Bojuka Bog,,,,Land,"Bojuka Bog enters the battlefield tapped . $When Bojuka Bog enters the battlefield , exile all cards from target player's graveyard . ${tap }: Add { B } to your mana pool ."
Dispel,,,{U},Instant,Counter target instant spell .
Hammer of Ruin,,,{2},Artifact - Equipment,"Equipped creature gets +2/+0 . $Whenever equipped creature deals combat damage to a player , you may destroy target Equipment that player controls . $Equip { 2 }"
Lodestone Golem,3,5,{4},Artifact Creature - Golem,Nonartifact spells cost { 1 } more to cast .
Razor Boomerang,,,{3},Artifact - Equipment,"Equipped creature has "" { tap } , Unattach Razor Boomerang : Razor Boomerang deals 1 damage to target creature or player . Return Razor Boomerang to its owner's hand . "" $Equip { 2 }"
Snapping Creeper,3,2,{2}{G},Creature - Plant,"Landfall - Whenever a land enters the battlefield under your control , Snapping Creeper gains vigilance until end of turn ."
Vastwood Animist,1,1,{2}{G},Creature - Elf Shaman Ally,"{ tap }: Target land you control becomes an X/X Elemental creature until end of turn , where X is the number of Allies you control . It's still a land ."
Beastmaster Ascension,,,{2}{G},Enchantment,"Whenever a creature you control attacks , you may put a quest counter on Beastmaster Ascension . $As long as Beastmaster Ascension has seven or more quest counters on it , creatures you control get +5/+5 ."
Cosi's Trickster,1,1,{U},Creature - Merfolk Wizard,"Whenever an opponent shuffles his or her library , you may put a +1/+1 counter on Cosi's Trickster ."
Giant Scorpion,3,1,{2}{B},Creature - Scorpion,Deathtouch < i > (Any amount of damage this deals to a creature is enough to destroy it . ) < /i >
Hedron Crab,2,0,{U},Creature - Crab,"Landfall - Whenever a land enters the battlefield under your control , target player puts the top three cards of his or her library into his or her graveyard ."
Khalni Heart Expedition,,,{1}{G},Enchantment,"Landfall - Whenever a land enters the battlefield under your control , you may put a quest counter on Khalni Heart Expedition . $Remove three quest counters from Khalni Heart Expedition and sacrifice it : Search your library for up to two basic land cards , put them onto the battlefield tapped , then shuffle your library ."
Malakir Bloodwitch,4,4,{3}{B}{B},Creature - Vampire Shaman,"Flying , protection from white$When Malakir Bloodwitch enters the battlefield , each opponent loses life equal to the number of Vampires you control . You gain life equal to the life lost this way ."
Noble Vestige,2,1,{2}{W},Creature - Spirit,Flying${tap }: Prevent the next 1 damage that would be dealt to target player this turn .
Quest for the Gravelord,,,{B},Enchantment,"Whenever a creature dies , you may put a quest counter on Quest for the Gravelord . $Remove three quest counters from Quest for the Gravelord and sacrifice it : Put a 5/5 black Zombie Giant creature token onto the battlefield ."
Shatterskull Giant,3,4,{2}{R}{R},Creature - Giant Warrior,
Surrakar Marauder,1,2,{1}{B},Creature - Surrakar,"Landfall - Whenever a land enters the battlefield under your control , Surrakar Marauder gains intimidate until end of turn . < i > (It can't be blocked except by artifact creatures and/or creatures that share a color with it . ) < /i >"
Vampire Hexmage,1,2,{B}{B},Creature - Vampire Shaman,First strike$Sacrifice Vampire Hexmage : Remove all counters from target permanent .
