,name,text
1934,Cabaretti Confluence,"Choose three. You may choose the same mode more than once.
• Create a token that's a copy of target creature you control. It gains haste. Sacrifice it at the beginning of the next end step.
• Exile target artifact or enchantment.
• Creatures target player controls get +1/+1 and gain first strike until end of turn."
1935,Maestros Confluence,"Choose three. You may choose the same mode more than once.
• Return target monocolored instant or sorcery card from your graveyard to your hand.
• Target creature gets -3/-3 until end of turn.
• Goad each creature target player controls. (Until your next turn, those creatures attack each combat if able and attack a player other than you if able.)"
1936,Riveteers Confluence,"Choose three. You may choose the same mode more than once.
• You draw a card and you lose 1 life.
• Riveteers Confluence deals 1 damage to each creature and planeswalker you don't control.
• You may put a land card from your hand or graveyard onto the battlefield tapped."
1937,Spiteful Repossession,Spiteful Repossession deals damage to each opponent who controls more lands than you equal to the difference. Then create a number of Treasure tokens equal to the damage dealt this way.
1938,Organic Extinction,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Destroy all nonartifact creatures."
1939,Universal Surveillance,"Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Draw X cards."
1940,Collision of Realms,"Each player shuffles all creatures they own into their library. Each player who shuffled a nontoken creature into their library this way reveals cards from the top of their library until they reveal a creature card, then puts that card onto the battlefield and the rest on the bottom of their library in a random order."
1941,Smoke Spirits' Aid,"For each of up to X target creatures, create a red Aura enchantment token named Smoke Blessing attached to that creature. Those tokens have enchant creature and ""When enchanted creature dies, it deals 1 damage to its controller and you create a Treasure token."""
1942,Vastwood Surge,"Kicker {4} (You may pay an additional {4} as you cast this spell.)
Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle. If this spell was kicked, put two +1/+1 counters on each creature you control."
1943,Topple,"Exile target creature with the greatest power among creatures on the battlefield. (If two or more creatures are tied for greatest power, target any one of them.)"
1944,Massacre,"If an opponent controls a Plains and you control a Swamp, you may cast this spell without paying its mana cost.
All creatures get -2/-2 until end of turn."
1945,Mind Swords,"If you control a Swamp, you may sacrifice a creature rather than pay this spell's mana cost.
Each player exiles two cards from their hand."
1946,Mogg Alarm,"You may sacrifice two Mountains rather than pay this spell's mana cost.
Create two 1/1 red Goblin creature tokens."
1947,Rupture,Sacrifice a creature. Rupture deals damage equal to that creature's power to each creature without flying and each player.
1948,Stronghold Gambit,Each player chooses a card in their hand. Then each player reveals their chosen card. The owner of each creature card revealed this way with the lowest mana value puts it onto the battlefield.
1949,Pack Hunt,"Search your library for up to three cards with the same name as target creature, reveal them, put them into your hand, then shuffle."
1950,Reverent Silence,"If you control a Forest, rather than pay this spell's mana cost, you may have each other player gain 6 life.
Destroy all enchantments."
1951,Banishing Slash,"Destroy up to one target artifact, enchantment, or tapped creature. Then if you control an artifact and an enchantment, create a 2/2 white Samurai creature token with vigilance."
1952,Brilliant Restoration,Return all artifact and enchantment cards from your graveyard to the battlefield.
1953,Farewell,"Choose one or more —
• Exile all artifacts.
• Exile all creatures.
• Exile all enchantments.
• Exile all graveyards."
1954,Imperial Oath,Create three 2/2 white Samurai creature tokens with vigilance. Scry 3.
1955,Invoke Justice,"Return target permanent card from your graveyard to the battlefield, then distribute four +1/+1 counters among any number of creatures and/or Vehicles target player controls."
1956,Lucky Offering,Destroy target artifact with mana value 3 or less. You gain 3 life.
1957,Anchor to Reality,"As an additional cost to cast this spell, sacrifice an artifact or creature.
Search your library for an Equipment or Vehicle card, put that card onto the battlefield, then shuffle. If it has mana value less than the sacrificed permanent's mana value, scry 2."
1958,Invoke the Winds,Gain control of target artifact or creature. Untap it.
1959,Invoke Despair,"Target opponent sacrifices a creature. If they can't, they lose 2 life and you draw a card. Then repeat this process for an enchantment and a planeswalker."
1960,Kaito's Pursuit,Target player discards two cards. Ninjas and Rogues you control gain menace until end of turn. (They can't be blocked except by two or more creatures.)
1961,Malicious Malfunction,"All creatures get -2/-2 until end of turn. If a creature would die this turn, exile it instead."
1962,Okiba Salvage,Return target creature or Vehicle card from your graveyard to the battlefield. Then put two +1/+1 counters on that permanent if you control an artifact and an enchantment.
1963,Reckoner Shakedown,"Target opponent reveals their hand. You may choose a nonland card from it. If you do, that player discards that card. If you don't, put two +1/+1 counters on a creature or Vehicle you control."
1964,Soul Transfer,"Choose one. If you control an artifact and an enchantment as you cast this spell, you may choose both.
• Exile target creature or planeswalker.
• Return target creature or planeswalker card from your graveyard to your hand."
1965,Explosive Entry,Destroy up to one target artifact. Put a +1/+1 counter on up to one target creature.
1966,Explosive Singularity,"As an additional cost to cast this spell, you may tap any number of untapped creatures you control. This spell costs {1} less to cast for each creature tapped this way.
Explosive Singularity deals 10 damage to any target."
1967,Commune with Spirits,Look at the top four cards of your library. You may reveal an enchantment or land card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.
1968,Invoke the Ancients,"Create two 4/5 green Spirit creature tokens. For each of them, put your choice of a vigilance counter, a reach counter, or a trample counter on it."
1969,Spinning Wheel Kick,Target creature you control deals damage equal to its power to each of X target creatures and/or planeswalkers.
1970,Eiganjo Uprising,"Create X 2/2 white Samurai creature tokens with vigilance. They gain menace and haste until end of turn.
Each opponent creates X minus one 2/2 white Samurai creature tokens with vigilance."
1971,Arm with Aether,"Until end of turn, creatures you control gain ""Whenever this creature deals damage to an opponent, you may return target creature that player controls to its owner's hand."""
1972,Mindculling,You draw two cards and target opponent discards two cards.
1973,Caress of Phyrexia,"Target player draws three cards, loses 3 life, and gets three poison counters."
1974,Ichor Explosion,"As an additional cost to cast this spell, sacrifice a creature.
All creatures get -X/-X until end of turn, where X is the sacrificed creature's power."
1975,Life's Finale,"Destroy all creatures, then search target opponent's library for up to three creature cards and put them into their graveyard. Then that player shuffles."
1976,Postmortem Lunge,"({B/P} can be paid with either {B} or 2 life.)
Return target creature card with mana value X from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step."
1977,Praetor's Grasp,Search target opponent's library for a card and exile it face down. Then that player shuffles. You may look at and play that card for as long as it remains exiled.
1978,Geosurge,Add {R}{R}{R}{R}{R}{R}{R}. Spend this mana only to cast artifact or creature spells.
1979,Ruthless Invasion,"({R/P} can be paid with either {R} or 2 life.)
Nonartifact creatures can't block this turn."
1980,Scrapyard Salvo,Scrapyard Salvo deals damage to target player or planeswalker equal to the number of artifact cards in your graveyard.
1981,Victorious Destruction,Destroy target artifact or land. Its controller loses 1 life.
1982,Corrosive Gale,"({G/P} can be paid with either {G} or 2 life.)
Corrosive Gale deals X damage to each creature with flying."
1983,Incoming!,"Each player searches their library for any number of artifact, creature, enchantment, and/or land cards, puts them onto the battlefield, then shuffles."
1984,Ancestral Tribute,"You gain 2 life for each card in your graveyard.
Flashback {9}{W}{W}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
1985,Balancing Act,"Each player chooses a number of permanents they control equal to the number of permanents controlled by the player who controls the fewest, then sacrifices the rest. Each player discards cards the same way."
1986,Bamboozle,Target player reveals the top four cards of their library. You choose two of those cards and put them into that player's graveyard. Put the rest on top of their library in any order.
1987,Careful Study,"Draw two cards, then discard two cards."
1988,Cultural Exchange,Choose any number of creatures target player controls. Choose the same number of creatures another target player controls. Those players exchange control of those creatures. (This effect lasts indefinitely.)
1989,Dematerialize,"Return target permanent to its owner's hand.
Flashback {5}{U}{U} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
1990,Extract,Search target player's library for a card and exile it. Then that player shuffles.
1991,Laquatus's Creativity,"Target player draws cards equal to the number of cards in their hand, then discards that many cards."
1992,Touch of Invisibility,"Target creature can't be blocked this turn.
Draw a card."
1993,Hint of Insanity,Target player reveals their hand. That player discards all nonland cards with the same name as another card in their hand.
1994,Last Rites,"Discard any number of cards. Target player reveals their hand, then you choose a nonland card from it for each card discarded this way. That player discards those cards."
1995,Mind Burst,"Target player discards X cards, where X is one plus the number of cards named Mind Burst in all graveyards."
1996,Morbid Hunger,"Morbid Hunger deals 3 damage to any target. You gain 3 life.
Flashback {7}{B}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
1997,Morgue Theft,"Return target creature card from your graveyard to your hand.
Flashback {4}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
1998,Skull Fracture,"Target player discards a card.
Flashback {3}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
1999,Tombfire,Target player exiles all cards with flashback from their graveyard.
2000,Acceptable Losses,"As an additional cost to cast this spell, discard a card at random.
Acceptable Losses deals 5 damage to target creature."
2001,Earth Rift,"Destroy target land.
Flashback {5}{R}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
2002,Epicenter,"Target player sacrifices a land.
Threshold — Each player sacrifices all lands they control instead if seven or more cards are in your graveyard."
2003,Lava Blister,Destroy target nonbasic land unless its controller has Lava Blister deal 6 damage to them.
2004,Liquid Fire,"As an additional cost to cast this spell, choose a number between 0 and 5.
Liquid Fire deals X damage to target creature and 5 minus X damage to that creature's controller, where X is the chosen number."
2005,Scorching Missile,"Scorching Missile deals 4 damage to target player or planeswalker.
Flashback {9}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
2006,Seize the Day,"Untap target creature. After this main phase, there is an additional combat phase followed by an additional main phase.
Flashback {2}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
2007,Shower of Coals,"Shower of Coals deals 2 damage to each of up to three targets.
Threshold — Shower of Coals deals 4 damage to each of those permanents and/or players instead if seven or more cards are in your graveyard."
2008,Tremble,Each player sacrifices a land.
2009,Volcanic Spray,"Volcanic Spray deals 1 damage to each creature without flying and each player.
Flashback {1}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
2010,Deep Reconnaissance,"Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
Flashback {4}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
2011,New Frontiers,Each player may search their library for up to X basic land cards and put them onto the battlefield tapped. Then each player who searched their library this way shuffles.
2012,Piper's Melody,Shuffle any number of target creature cards from your graveyard into your library.
2013,Rites of Spring,"Discard any number of cards. Search your library for up to that many basic land cards, reveal them, put them into your hand, then shuffle."
2014,Simplify,Each player sacrifices an enchantment.
2015,Allied Reinforcements,Create two 2/2 white Knight Ally creature tokens.
2016,Call the Gatewatch,"Search your library for a planeswalker card, reveal it, put it into your hand, then shuffle."
2017,Slip Through Space,"Devoid (This card has no color.)
Target creature can't be blocked this turn.
Draw a card."
2018,Crush of Tentacles,"Surge {3}{U}{U} (You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.)
Return all nonland permanents to their owners' hands. If this spell's surge cost was paid, create an 8/8 blue Octopus creature token."
2019,Roiling Waters,Return up to two target creatures your opponents control to their owners' hands. Target player draws two cards.
2020,Oblivion Strike,"Devoid (This card has no color.)
Exile target creature."
2021,Witness the End,"Devoid (This card has no color.)
Target opponent exiles two cards from their hand and loses 2 life."
2022,Remorseless Punishment,Target opponent loses 5 life unless that player discards two cards or sacrifices a creature or planeswalker. Repeat this process once.
2023,Devour in Flames,"As an additional cost to cast this spell, return a land you control to its owner's hand.
Devour in Flames deals 5 damage to target creature or planeswalker."
2024,Press into Service,"Support 2. (Put a +1/+1 counter on each of up to two target creatures.)
Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn."
2025,Ruin in Their Wake,"Devoid (This card has no color.)
Search your library for a basic land card and reveal it. You may put that card onto the battlefield tapped if you control a land named Wastes. Otherwise, put that card into your hand. Then shuffle."
2026,Harsh Mercy,Each player chooses a creature type. Destroy all creatures that aren't of a type chosen this way. They can't be regenerated.
2027,Airborne Aid,Draw a card for each Bird on the battlefield.
2028,Essence Fracture,"Return two target creatures to their owners' hands.
Cycling {2}{U} ({2}{U}, Discard this card: Draw a card.)"
2029,Peer Pressure,"Choose a creature type. If you control more creatures of that type than each other player, you gain control of all creatures of that type. (This effect lasts indefinitely.)"
2030,Chain of Smog,Target player discards two cards. That player may copy this spell and may choose a new target for that copy.
2031,Endemic Plague,"As an additional cost to cast this spell, sacrifice a creature.
Destroy all creatures that share a creature type with the sacrificed creature. They can't be regenerated."
2032,Profane Prayers,"Profane Prayers deals X damage to any target and you gain X life, where X is the number of Clerics on the battlefield."
2033,Strongarm Tactics,Each player discards a card. Then each player who didn't discard a creature card this way loses 4 life.
2034,Kaboom!,"Choose any number of target players or planeswalkers. For each of them, reveal cards from the top of your library until you reveal a nonland card, Kaboom! deals damage equal to that card's mana value to that player or planeswalker, then you put the revealed cards on the bottom of your library in any order."
2035,Lay Waste,"Destroy target land.
Cycling {2} ({2}, Discard this card: Draw a card.)"
2036,Searing Flesh,Searing Flesh deals 7 damage to target opponent or planeswalker.
2037,Thunder of Hooves,"Thunder of Hooves deals X damage to each creature without flying and each player, where X is the number of Beasts on the battlefield."
2038,Wave of Indifference,X target creatures can't block this turn.
2039,Animal Magnetism,Reveal the top five cards of your library. An opponent chooses a creature card from among them. Put that card onto the battlefield and the rest into your graveyard.
2040,Chain of Acid,Destroy target noncreature permanent. Then that permanent's controller may copy this spell and may choose a new target for that copy.
2041,Kamahl's Summons,Each player may reveal any number of creature cards from their hand. Then each player creates a 2/2 green Bear creature token for each card they revealed this way.
2042,Kytheon's Tactics,"Creatures you control get +2/+1 until end of turn.
Spell mastery — If there are two or more instant and/or sorcery cards in your graveyard, those creatures also gain vigilance until end of turn. (Attacking doesn't cause them to tap.)"
2043,Swift Reckoning,"Spell mastery — If there are two or more instant and/or sorcery cards in your graveyard, you may cast Swift Reckoning as though it had flash. (You may cast it any time you could cast an instant.)
Destroy target tapped creature."
2044,Anchor to the Aether,Put target creature on top of its owner's library. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)
2045,Day's Undoing,"Each player shuffles their hand and graveyard into their library, then draws seven cards. If it's your turn, end the turn. (Exile all spells and abilities from the stack, including this card. Discard down to your maximum hand size. Damage wears off, and ""this turn"" and ""until end of turn"" effects end.)"
2046,Displacement Wave,Return all nonland permanents with mana value X or less to their owners' hands.
2047,Talent of the Telepath,"Target opponent reveals the top seven cards of their library. You may cast an instant or sorcery spell from among them without paying its mana cost. Then that player puts the rest into their graveyard.
Spell mastery — If there are two or more instant and/or sorcery cards in your graveyard, you may cast up to two instant and/or sorcery spells from among the revealed cards instead of one."
2048,Dark Petition,"Search your library for a card, put that card into your hand, then shuffle.
Spell mastery — If there are two or more instant and/or sorcery cards in your graveyard, add {B}{B}{B}."
2049,Infinite Obliteration,"Choose a creature card name. Search target opponent's graveyard, hand, and library for any number of cards with that name and exile them. Then that player shuffles."
2050,Necromantic Summons,"Put target creature card from a graveyard onto the battlefield under your control.
Spell mastery — If there are two or more instant and/or sorcery cards in your graveyard, that creature enters the battlefield with two additional +1/+1 counters on it."
2051,Nightsnare,"Target opponent reveals their hand. You may choose a nonland card from it. If you do, that player discards that card. If you don't, that player discards two cards."
2052,Chandra's Ignition,Target creature you control deals damage equal to its power to each other creature and each opponent.
2053,Exquisite Firecraft,"Exquisite Firecraft deals 4 damage to any target.
Spell mastery — If there are two or more instant and/or sorcery cards in your graveyard, this spell can't be countered."
2054,Magmatic Insight,"As an additional cost to cast this spell, discard a land card.
Draw two cards."
2055,Gather the Pack,"Reveal the top five cards of your library. You may put a creature card from among them into your hand. Put the rest into your graveyard.
Spell mastery — If there are two or more instant and/or sorcery cards in your graveyard, put up to two creature cards from among the revealed cards into your hand instead of one."
2056,The Great Aurora,"Each player shuffles all cards from their hand and all permanents they own into their library, then draws that many cards. Each player may put any number of land cards from their hand onto the battlefield. Exile The Great Aurora."
2057,Joraga Invocation,Each creature you control gets +3/+3 until end of turn and must be blocked this turn if able.
2058,Wild Instincts,Target creature you control gets +2/+2 until end of turn. It fights target creature an opponent controls. (Each deals damage equal to its power to the other.)
2059,Bargain,"Target opponent draws a card.
You gain 7 life."
2060,Festival of Trokin,You gain 2 life for each creature you control.
2061,Déjà Vu,Return target sorcery card from your graveyard to your hand.
2062,Eye Spy,Look at the top card of target player's library. You may put that card into their graveyard.
2063,Piracy,"Until end of turn, you may tap lands you don't control for mana. Spend this mana only to cast spells."
2064,Touch of Brilliance,Draw two cards.
2065,Undo,Return two target creatures to their owners' hands.
2066,Wind Sail,One or two target creatures gain flying until end of turn.
2067,Bloodcurdling Scream,Target creature gets +X/+0 until end of turn.
2068,Chorus of Woe,Creatures you control get +1/+0 until end of turn.
2069,Dark Offering,Destroy target nonblack creature. You gain 3 life.
2070,Hand of Death,Destroy target nonblack creature.
2071,Kiss of Death,Kiss of Death deals 4 damage to target opponent or planeswalker. You gain 4 life.
2072,Return of the Nightstalkers,Return all Nightstalker permanent cards from your graveyard to the battlefield. Then destroy all Swamps you control.
2073,Goblin War Cry,Target opponent chooses a creature they control. Other creatures they control can't block this turn.
2074,Goblin War Strike,Goblin War Strike deals damage to target player or planeswalker equal to the number of Goblins you control.
2075,Jagged Lightning,Jagged Lightning deals 3 damage to each of two target creatures.
2076,Harmony of Nature,Tap any number of untapped creatures you control. You gain 4 life for each creature tapped this way.
2077,Renewing Touch,Shuffle any number of target creature cards from your graveyard into your library.
2078,Salvage,Put target card from your graveyard on top of your library.
2079,Granny's Payback,You gain life equal to your age.
2080,Call from the Grave,Put a random creature from a random graveyard into play under your control. Call from the Grave deals to you an amount of damage equal to that creature's casting cost.
2081,Whimsy,Play X random fast effects.
2082,Three Dreams,"Search your library for up to three Aura cards with different names, reveal them, put them into your hand, then shuffle."
2083,See Beyond,"Draw two cards, then shuffle a card from your hand into your library."
2084,Proposal,"Allows Richard to propose marriage to Lily. If the proposal is accepted both players win; mix the cards in play, both libraries, and both graveyards as a shared deck."
2085,Splendid Genesis,Shuffle all cards in the game together and deal them into three decks. The game continues with a new player.
2086,Fraternal Exaltation,Sneak into your parents' closet to get a deck. Your new brother is joining the game.
2087,Phoenix Heart,Koni and Richard continue the game and play all games as partners forever.
2088,Blessed Wind,Target player's life total becomes 20.
2089,Denying Wind,Search target player's library for up to seven cards and exile them. Then that player shuffles.
2090,Mana Vapors,Lands target player controls don't untap during their next untap step.
2091,Psychic Theft,"Target player reveals their hand. You choose an instant or sorcery card from it and exile that card. You may cast that card for as long as it remains exiled. At the beginning of the next end step, if you haven't cast the card, return it to its owner's hand."
2092,Rhystic Scrying,"Draw three cards. Then if any player pays {2}, discard three cards."
2093,Despoil,Destroy target land. Its controller loses 2 life.
2094,Flay,Target player discards a card at random. Then that player discards another card at random unless they pay {1}.
2095,Outbreak,"You may discard a Swamp card rather than pay this spell's mana cost.
Choose a creature type. All creatures of that type get -1/-1 until end of turn."
2096,Rhystic Syphon,"Unless target player pays {3}, that player loses 5 life and you gain 5 life."
2097,Rhystic Tutor,"Unless any player pays {2}, search your library for a card, put that card into your hand, then shuffle."
2098,Soul Strings,Return two target creature cards from your graveyard to your hand unless any player pays {X}.
2099,Devastate,Destroy target land. Devastate deals 1 damage to each creature and each player.
2100,Search for Survivors,"Reorder your graveyard at random. An opponent chooses a card at random in your graveyard. If it's a creature card, put it onto the battlefield. Otherwise, exile it."
2101,Calming Verse,"Destroy all enchantments you don't control. Then if you control an untapped land, destroy all enchantments you control."
2102,Elephant Resurgence,"Each player creates a green Elephant creature token. Those creatures have ""This creature's power and toughness are each equal to the number of creature cards in its controller's graveyard."""
2103,Wing Storm,Wing Storm deals damage to each player equal to twice the number of creatures with flying that player controls.
2104,Sickening Dreams,"As an additional cost to cast this spell, discard X cards.
Sickening Dreams deals X damage to each creature and each player."
2105,Crippling Fatigue,"Target creature gets -2/-2 until end of turn.
Flashback—{1}{B}, Pay 3 life. (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
2106,Feast of Blood,"Cast this spell only if you control two or more Vampires.
Destroy target creature. You gain 4 life."
2107,Heroes Remembered,"You gain 20 life.
Suspend 10—{W} (Rather than cast this card from your hand, you may pay {W} and exile it with ten time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)"
2108,Retether,Return each Aura card from your graveyard to the battlefield. Only creatures can be enchanted this way. (Aura cards that can't enchant a creature on the battlefield remain in your graveyard.)
2109,Dichotomancy,"For each tapped nonland permanent target opponent controls, search that player's library for a card with the same name as that permanent. Put those cards onto the battlefield under your control, then that player shuffles.
Suspend 3—{1}{U}{U} (Rather than cast this card from your hand, you may pay {1}{U}{U} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)"
2110,Wistful Thinking,"Target player draws two cards, then discards four cards."
2111,Temporal Extortion,"When you cast this spell, any player may pay half their life, rounded up. If a player does, counter Temporal Extortion.
Take an extra turn after this one."
2112,Boom // Bust,Destroy target land you control and target land you don't control.
2113,Eternal Dominion,"Search target opponent's library for an artifact, creature, enchantment, or land card. Put that card onto the battlefield under your control. Then that player shuffles.
Epic (For the rest of the game, you can't cast spells. At the beginning of each of your upkeeps, copy this spell except for its epic ability. You may choose a new target for the copy.)"
2114,Cruel Tutor,"Search your library for a card, then shuffle and put that card on top. You lose 2 life."
2115,Extinction,Destroy all creatures of the creature type of your choice.
2116,Decree of Annihilation,"Exile all artifacts, creatures, and lands from the battlefield, all cards from all graveyards, and all cards from all hands.
Cycling {5}{R}{R} ({5}{R}{R}, Discard this card: Draw a card.)
When you cycle Decree of Annihilation, destroy all lands."
2117,Parallel Evolution,"For each creature token on the battlefield, its controller creates a token that's a copy of that creature.
Flashback {4}{G}{G}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
2118,Vampiric Feast,Vampiric Feast deals 4 damage to any target and you gain 4 life.
2119,Repay in Kind,Each player's life total becomes the lowest life total among all players.
2120,Dragon's Approach,"Dragon's Approach deals 3 damage to each opponent. You may exile Dragon's Approach and four cards named Dragon's Approach from your graveyard. If you do, search your library for a Dragon creature card, put it onto the battlefield, then shuffle.
A deck can have any number of cards named Dragon's Approach."
2121,Invade the City,"Amass X, where X is the number of instant and sorcery cards in your graveyard. (Put X +1/+1 counters on an Army you control. If you don't control one, create a 0/0 black Zombie Army creature token first.)"
2122,Wake of Destruction,Destroy target land and all other lands with the same name as that land.
2123,March of Souls,"Destroy all creatures. They can't be regenerated. For each creature destroyed this way, its controller creates a 1/1 white Spirit creature token with flying."
2124,Planar Overlay,Each player chooses a land they control of each basic land type. Return those lands to their owners' hands.
2125,Bog Down,"Kicker—Sacrifice two lands. (You may sacrifice two lands in addition to any other costs as you cast this spell.)
Target player discards two cards. If this spell was kicked, that player discards three cards instead."
2126,Exotic Disease,"Domain — Target player loses X life and you gain X life, where X is the number of basic land types among lands you control."
2127,Noxious Vapors,"Each player reveals their hand, chooses one card of each color from it, then discards all other nonland cards."
2128,Implode,"Destroy target land.
Draw a card."
2129,Strafe,Strafe deals 3 damage to target nonred creature.
2130,Urza's Guilt,"Each player draws two cards, then discards three cards, then loses 4 life."
2131,Scent of Cinder,"Reveal any number of red cards in your hand. Scent of Cinder deals X damage to any target, where X is the number of cards revealed this way."
2132,False Peace,Target player skips all combat phases of their next turn.
2133,Renewing Dawn,You gain 2 life for each Mountain target opponent controls.
2134,Steadfastness,Creatures you control get +0/+3 until end of turn.
2135,Temporary Truce,"Each player may draw up to two cards. For each card less than two a player draws this way, that player gains 2 life."
2136,Valorous Charge,White creatures get +2/+0 until end of turn.
2137,Warrior's Charge,Creatures you control get +1/+1 until end of turn.
2138,Cloak of Feathers,"Target creature gains flying until end of turn.
Draw a card."
2139,Cruel Fate,Look at the top five cards of target opponent's library. Put one of those cards into that player's graveyard and the rest on top of their library in any order.
2140,Flux,"Each player discards any number of cards, then draws that many cards.
Draw a card."
2141,Omen,"Look at the top three cards of your library, then put them back in any order. You may shuffle.
Draw a card."
2142,Sorcerous Sight,"Look at target opponent's hand.
Draw a card."
2143,Taunt,"During target player's next turn, creatures that player controls attack you if able."
2144,Cruel Bargain,"Draw four cards. You lose half your life, rounded up."
2145,Dread Charge,Black creatures you control can't be blocked this turn except by black creatures.
2146,Final Strike,"As an additional cost to cast this spell, sacrifice a creature.
Final Strike deals damage to target opponent or planeswalker equal to the sacrificed creature's power."
2147,Howling Fury,Target creature gets +4/+0 until end of turn.
2148,Mind Knives,Target opponent discards a card at random.
2149,Nature's Ruin,Destroy all green creatures.
2150,Vampiric Touch,Vampiric Touch deals 2 damage to target opponent or planeswalker and you gain 2 life.
2151,Virtue's Ruin,Destroy all white creatures.
2152,Burning Cloak,Target creature gets +2/+0 until end of turn. Burning Cloak deals 2 damage to that creature.
2153,Rain of Salt,Destroy two target lands.
2154,Scorching Spear,Scorching Spear deals 1 damage to any target.
2155,Fruition,You gain 1 life for each Forest on the battlefield.
2156,Mobilize,Untap all creatures you control.
2157,Nature's Cloak,Green creatures you control gain forestwalk until end of turn. (They can't be blocked as long as defending player controls a Forest.)
2158,Winter's Grasp,Destroy target land.
2159,Sphinx's Decree,Each opponent can't cast instant or sorcery spells during that player's next turn.
2160,Mastermind's Acquisition,"Choose one —
• Search your library for a card, put it into your hand, then shuffle.
• Put a card you own from outside the game into your hand."
2161,Memoricide,"Choose a nonland card name. Search target player's graveyard, hand, and library for any number of cards with that name and exile them. Then that player shuffles."
2162,Time Spiral,"Exile Time Spiral. Each player shuffles their hand and graveyard into their library, then draws seven cards. You untap up to six lands."
2163,Shatter the Sky,Each player who controls a creature with power 4 or greater draws a card. Then destroy all creatures.
2164,Purphoros's Intervention,"Choose one —
• Create an X/1 red Elemental creature token with trample and haste. Sacrifice it at the beginning of the next end step.
• Purphoros's Intervention deals twice X damage to target creature or planeswalker."
2165,Nylea's Intervention,"Choose one —
• Search your library for up to X land cards, reveal them, put them into your hand, then shuffle.
• Nylea's Intervention deals twice X damage to each creature with flying."
2166,Storm's Wrath,Storm's Wrath deals 4 damage to each creature and each planeswalker.
2167,Allure of the Unknown,"Reveal the top six cards of your library. An opponent exiles a nonland card from among them, then you put the rest into your hand. That opponent may cast the exiled card without paying its mana cost."
2168,Coveted Prize,"This spell costs {1} less to cast for each creature in your party. (Your party consists of up to one each of Cleric, Rogue, Warrior, and Wizard.)
Search your library for a card, put it into your hand, then shuffle. If you have a full party, you may cast a spell with mana value 4 or less from your hand without paying its mana cost."
2169,Nahiri's Lithoforming,"Sacrifice X lands. For each land sacrificed this way, draw a card. You may play X additional lands this turn. Lands you control enter the battlefield tapped this turn."
2170,Maddening Cacophony,"Kicker {3}{U}
Each opponent mills eight cards. If this spell was kicked, instead each opponent mills half their library, rounded up."
2171,Inscription of Ruin,"Kicker {2}{B}{B}
Choose one. If this spell was kicked, choose any number instead.
• Target opponent discards two cards.
• Return target creature card with mana value 2 or less from your graveyard to the battlefield.
• Destroy target creature with mana value 3 or less."
2172,Shadows' Verdict,Exile all creatures and planeswalkers with mana value 3 or less from the battlefield and all creature and planeswalker cards with mana value 3 or less from all graveyards.
2173,Inscription of Insight,"Kicker {2}{U}{U}
Choose one. If this spell was kicked, choose any number instead.
• Return up to two target creatures to their owners' hands.
• Scry 2, then draw two cards.
• Target player creates an X/X blue Illusion creature token, where X is the number of cards in their hand."
2174,"Emeria's Call // Emeria, Shattered Skyclave",Create two 4/4 white Angel Warrior creature tokens with flying. Non-Angel creatures you control gain indestructible until your next turn.
2175,"Sea Gate Restoration // Sea Gate, Reborn",Draw cards equal to the number of cards in your hand plus one. You have no maximum hand size for the rest of the game.
2176,"Agadeem's Awakening // Agadeem, the Undercrypt",Return from your graveyard to the battlefield any number of target creature cards that each have a different mana value X or less.
2177,"Shatterskull Smashing // Shatterskull, the Hammer Pass","Shatterskull Smashing deals X damage divided as you choose among up to two target creatures and/or planeswalkers. If X is 6 or more, Shatterskull Smashing deals twice X damage divided as you choose among them instead."
2178,"Turntimber Symbiosis // Turntimber, Serpentine Wood","Look at the top seven cards of your library. You may put a creature card from among them onto the battlefield. If that card has mana value 3 or less, it enters with three additional +1/+1 counters on it. Put the rest on the bottom of your library in a random order."
