,name,text
2071,Forge Armor,"As an additional cost to cast this spell, sacrifice an artifact.
Put X +1/+1 counters on target creature, where X is the sacrificed artifact's mana value."
2072,Incite War,"Choose one —
• Creatures target player controls attack this turn if able.
• Creatures you control gain first strike until end of turn.
Entwine {2} (Choose both if you pay the entwine cost.)"
2073,Battlegrowth,Put a +1/+1 counter on target creature.
2074,Bloodscent,All creatures able to block target creature this turn do so.
2075,Predator's Strike,Target creature gets +3/+3 and gains trample until end of turn.
2076,Turn to Dust,Destroy target Equipment. Add {G}.
2077,Contractual Safeguard,"Addendum — If you cast this spell during your main phase, put a shield counter on a creature you control. (If it would be dealt damage or destroyed, remove a shield counter from it instead.)
Choose a kind of counter on a creature you control. Put a counter of that kind on each other creature you control."
2078,Grand Crescendo,Create X 1/1 green and white Citizen creature tokens. Creatures you control gain indestructible until end of turn.
2079,Change of Plans,"Each of X target creatures you control connive. You may have any number of them phase out. (To have a creature connive, draw a card, then discard a card. If you discarded a nonland card, put a +1/+1 counter on that creature. Treat phased-out permanents and anything attached to them as though they don't exist until their controller's next turn.)"
2080,Storm of Forms,"When you cast this spell, copy it for each kind of counter among permanents you control. You may choose new targets for the copies.
Return target nonland permanent to its owner's hand."
2081,Body Count,"Spectacle {B} (You may cast this spell for its spectacle cost rather than its mana cost if an opponent lost life this turn.)
Draw a card for each creature that died under your control this turn."
2082,Lethal Scheme,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Destroy target creature or planeswalker. Each creature that convoked Lethal Scheme connives. (Draw a card, then discard a card. If you discarded a nonland card, put a +1/+1 counter on that creature.)"
2083,Waste Management,"Kicker {3}{B} (You may pay an additional {3}{B} as you cast this spell.)
Exile up to two target cards from a single graveyard. If this spell was kicked, instead exile target player's graveyard. Create a 2/2 black Rogue creature token for each creature card exiled this way."
2084,Audacious Swap,"Casualty 2 (As you cast this spell, you may sacrifice a creature with power 2 or greater. When you do, copy this spell and you may choose a new target for the copy.)
The owner of target nonenchantment permanent shuffles it into their library, then exiles the top card of their library. If it's a land card, they put it onto the battlefield. Otherwise, they may cast it without paying its mana cost."
2085,Crash the Party,Create a tapped 4/4 green Rhino Warrior creature token for each tapped creature you control.
2086,Brokers Confluence,"Choose three. You may choose the same mode more than once.
• Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)
• Target creature phases out. (Treat it and anything attached to it as though they don't exist until its controller's next turn.)
• Counter target activated or triggered ability."
2087,Obscura Confluence,"Choose three. You may choose the same mode more than once.
• Until end of turn, target creature loses all abilities and has base power and toughness 1/1.
• Target creature connives. (Draw a card, then discard a card. If you discarded a nonland card, put a +1/+1 counter on that creature.)
• Target player returns a creature card from their graveyard to their hand."
2088,Release to Memory,"Exile target opponent's graveyard. For each creature card exiled this way, create a 1/1 colorless Spirit creature token."
2089,Access Denied,"Counter target spell. Create X 1/1 colorless Thopter artifact creature tokens with flying, where X is that spell's mana value."
2090,Silkguard,"Put a +1/+1 counter on each of up to X target creatures you control.
Auras, Equipment, and modified creatures you control gain hexproof until end of turn. (Equipment, Auras you control, and counters are modifications.)"
2091,Angelic Favor,"If you control a Plains, you may tap an untapped creature you control rather than pay this spell's mana cost.
Cast this spell only during combat.
Create a 4/4 white Angel creature token with flying. Exile it at the beginning of the next end step."
2092,Off Balance,Target creature can't attack or block this turn.
2093,Sivvi's Ruse,"If an opponent controls a Mountain and you control a Plains, you may cast this spell without paying its mana cost.
Prevent all damage that would be dealt this turn to creatures you control."
2094,Sivvi's Valor,"If you control a Plains, you may tap an untapped creature you control rather than pay this spell's mana cost.
All damage that would be dealt to target creature this turn is dealt to you instead."
2095,Ensnare,"You may return two Islands you control to their owner's hand rather than pay this spell's mana cost.
Tap all creatures."
2096,Infiltrate,Target creature can't be blocked this turn.
2097,Pale Moon,"Until end of turn, if a player taps a nonbasic land for mana, it produces colorless mana instead of any other type."
2098,Submerge,"If an opponent controls a Forest and you control an Island, you may cast this spell without paying its mana cost.
Put target creature on top of its owner's library."
2099,Dark Triumph,"If you control a Swamp, you may sacrifice a creature rather than pay this spell's mana cost.
Creatures you control get +2/+0 until end of turn."
2100,Flowstone Strike,Target creature gets +1/-1 and gains haste until end of turn.
2101,Animate Land,"Until end of turn, target land becomes a 3/3 creature that's still a land."
2102,Fog Patch,"Cast this spell only during the declare blockers step.
Attacking creatures become blocked. (This spell works on creatures that can't be blocked.)"
2103,Refreshing Rain,"If an opponent controls a Swamp and you control a Forest, you may cast this spell without paying its mana cost.
Target player gains 6 life."
2104,Light the Way,"Choose one —
• Put a +1/+1 counter on target creature or Vehicle. Untap it.
• Return target permanent you control to its owner's hand."
2105,March of Otherworldly Light,"As an additional cost to cast this spell, you may exile any number of white cards from your hand. This spell costs {2} less to cast for each card exiled this way.
Exile target artifact, creature, or enchantment with mana value X or less."
2106,Regent's Authority,"Target creature gets +2/+2 until end of turn. If it's an enchantment creature or legendary creature, instead put a +1/+1 counter on it and it gets +1/+1 until end of turn."
2107,Repel the Vile,"Choose one —
• Exile target creature with power 4 or greater.
• Exile target enchantment."
2108,Wanderer's Intervention,Wanderer's Intervention deals 4 damage to target attacking or blocking creature.
2109,When We Were Young,"Up to two target creatures each get +2/+2 until end of turn. If you control an artifact and an enchantment, those creatures also gain lifelink until end of turn."
2110,Discover the Impossible,"Look at the top five cards of your library. Exile one of them face down and put the rest on the bottom of your library in a random order. You may cast the exiled card without paying its mana cost if it's an instant spell with mana value 2 or less. If you don't, put that card into your hand."
2111,Disruption Protocol,"As an additional cost to cast this spell, tap an untapped artifact you control or pay {1}.
Counter target spell."
2112,Essence Capture,Counter target creature spell. Put a +1/+1 counter on up to one target creature you control.
2113,March of Swirling Mist,"As an additional cost to cast this spell, you may exile any number of blue cards from your hand. This spell costs {2} less to cast for each card exiled this way.
Up to X target creatures phase out. (While they're phased out, they're treated as though they don't exist. Each one phases in before its controller untaps during their next untap step.)"
2114,Planar Incision,"Exile target artifact or creature, then return it to the battlefield under its owner's control with a +1/+1 counter on it."
2115,Reality Heist,"This spell costs {1} less to cast for each artifact you control.
Look at the top seven cards of your library. You may reveal up to two artifact cards from among them and put them into your hand. Put the rest on the bottom of your library in a random order."
2116,Suit Up,"Until end of turn, target creature or Vehicle becomes an artifact creature with base power and toughness 4/5.
Draw a card."
2117,Assassin's Ink,"This spell costs {1} less to cast if you control an artifact and {1} less to cast if you control an enchantment.
Destroy target creature or planeswalker."
2118,Debt to the Kami,"Choose one —
• Target opponent exiles a creature they control.
• Target opponent exiles an enchantment they control."
2119,Lethal Exploit,"Target creature gets -2/-2 until end of turn. It gets an additional -1/-1 until end of turn for each modified creature you controlled as you cast this spell. (Equipment, Auras you control, and counters are modifications.)"
2120,March of Wretched Sorrow,"As an additional cost to cast this spell, you may exile any number of black cards from your hand. This spell costs {2} less to cast for each card exiled this way.
March of Wretched Sorrow deals X damage to target creature or planeswalker and you gain X life."
2121,Reckoner's Bargain,"As an additional cost to cast this spell, sacrifice an artifact or creature.
You gain life equal to the sacrificed permanent's mana value. Draw two cards."
2122,Return to Action,"Until end of turn, target creature gets +1/+0 and gains lifelink and ""When this creature dies, return it to the battlefield tapped under its owner's control."""
2123,You Are Already Dead,"Destroy target creature that was dealt damage this turn.
Draw a card."
2124,Ambitious Assault,"Creatures you control get +2/+0 until end of turn. If you control a modified creature, draw a card. (Equipment, Auras you control, and counters are modifications.)"
2125,Flame Discharge,"Flame Discharge deals X damage to target creature or planeswalker. If you controlled a modified creature as you cast this spell, it deals X plus 2 damage instead. (Equipment, Auras you control, and counters are modifications.)"
2126,Invoke Calamity,"You may cast up to two instant and/or sorcery spells with total mana value 6 or less from your graveyard and/or hand without paying their mana costs. If those spells would be put into your graveyard, exile them instead. Exile Invoke Calamity."
2127,Kami's Flare,"Kami's Flare deals 3 damage to target creature or planeswalker. Kami's Flare also deals 2 damage to that permanent's controller if you control a modified creature. (Equipment, Auras you control, and counters are modifications.)"
2128,March of Reckless Joy,"As an additional cost to cast this spell, you may exile any number of red cards from your hand. This spell costs {2} less to cast for each card exiled this way.
Exile the top X cards of your library. You may play up to two of those cards until the end of your next turn."
2129,Seismic Wave,Seismic Wave deals 2 damage to any target and 1 damage to each nonartifact creature target opponent controls.
2130,Voltage Surge,"As an additional cost to cast this spell, you may sacrifice an artifact.
Voltage Surge deals 2 damage to target creature or planeswalker. If this spell's additional cost was paid, Voltage Surge deals 4 damage instead."
2131,Boon of Boseiju,"Target creature gets +X/+X until end of turn, where X is the greatest mana value among permanents you control. Untap it."
2132,March of Burgeoning Life,"As an additional cost to cast this spell, you may exile any number of green cards from your hand. This spell costs {2} less to cast for each card exiled this way.
Choose target creature with mana value less than X. Search your library for a creature card with the same name as that creature, put it onto the battlefield tapped, then shuffle."
2133,Master's Rebuke,Target creature you control deals damage equal to its power to target creature or planeswalker you don't control.
2134,Season of Renewal,"Choose one or both —
• Return target creature card from your graveyard to your hand.
• Return target enchantment card from your graveyard to your hand."
2135,Storyweave,"Choose one —
• Put two +1/+1 counters on target creature you control.
• Put two lore counters on target Saga you control. The next time one or more enchantment creatures enter the battlefield under your control this turn, each enters with two additional +1/+1 counters on it."
2136,Tamiyo's Safekeeping,"Target permanent you control gains hexproof and indestructible until end of turn. You gain 2 life. (A permanent with hexproof and indestructible can't be the target of spells or abilities your opponents control. Damage and effects that say ""destroy"" don't destroy it.)"
2137,Due Respect,"Permanents enter the battlefield tapped this turn.
Draw a card."
2138,Marrow Shards,"({W/P} can be paid with either {W} or 2 life.)
Marrow Shards deals 1 damage to each attacking creature."
2139,War Report,You gain life equal to the number of creatures on the battlefield plus the number of artifacts on the battlefield.
2140,Argent Mutation,"Target permanent becomes an artifact in addition to its other types until end of turn.
Draw a card."
2141,Corrupted Resolve,Counter target spell if its controller is poisoned.
2142,Mental Misstep,"({U/P} can be paid with either {U} or 2 life.)
Counter target spell with mana value 1."
2143,Psychic Barrier,Counter target creature spell. Its controller loses 1 life.
2144,Geth's Verdict,Target player sacrifices a creature and loses 1 life.
2145,Artillerize,"As an additional cost to cast this spell, sacrifice an artifact or creature.
Artillerize deals 5 damage to any target."
2146,Glissa's Scorn,Destroy target artifact. Its controller loses 1 life.
2147,Leeching Bite,Target creature gets +1/+1 until end of turn. Another target creature gets -1/-1 until end of turn.
2148,Noxious Revival,"({G/P} can be paid with either {G} or 2 life.)
Put target card from a graveyard on top of its owner's library."
2149,Cease-Fire,"Target player can't cast creature spells this turn.
Draw a card."
2150,Embolden,"Prevent the next 4 damage that would be dealt this turn to any number of targets, divided as you choose.
Flashback {1}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
2151,Gallantry,"Target blocking creature gets +4/+4 until end of turn.
Draw a card."
2152,Life Burst,"Target player gains 4 life, then gains 4 life for each card named Life Burst in each graveyard."
2153,Sacred Rites,Discard any number of cards. Creatures you control get +0/+1 until end of turn for each card discarded this way.
2154,Spiritualize,"Until end of turn, whenever target creature deals damage, you gain that much life.
Draw a card."
2155,Aether Burst,"Return up to X target creatures to their owners' hands, where X is one plus the number of cards named Aether Burst in all graveyards as you cast this spell."
2156,Repel,Put target creature on top of its owner's library.
2157,Rites of Refusal,Discard any number of cards. Counter target spell unless its controller pays {3} for each card discarded this way.
2158,Words of Wisdom,"You draw two cards, then each other player draws a card."
2159,Coffin Purge,"Exile target card from a graveyard.
Flashback {B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
2160,Tainted Pact,"Exile the top card of your library. You may put that card into your hand unless it has the same name as another card exiled this way. Repeat this process until you put a card into your hand or you exile two cards with the same name, whichever comes first."
2161,Bash to Bits,"Destroy target artifact.
Flashback {4}{R}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
2162,Demoralize,"All creatures gain menace until end of turn. (They can't be blocked except by two or more creatures.)
Threshold — If seven or more cards are in your graveyard, creatures can't block this turn."
2163,Engulfing Flames,"Engulfing Flames deals 1 damage to target creature. It can't be regenerated this turn.
Flashback {3}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
2164,Flame Burst,"Flame Burst deals X damage to any target, where X is 2 plus the number of cards named Flame Burst in all graveyards."
2165,Molten Influence,Counter target instant or sorcery spell unless its controller has Molten Influence deal 4 damage to them.
2166,Mudhole,Target player exiles all land cards from their graveyard.
2167,Rites of Initiation,Discard any number of cards at random. Creatures you control get +1/+0 until end of turn for each card discarded this way.
2168,Thermal Blast,"Thermal Blast deals 3 damage to target creature.
Threshold — Thermal Blast deals 5 damage instead if seven or more cards are in your graveyard."
2169,Elephant Ambush,"Create a 3/3 green Elephant creature token.
Flashback {6}{G}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
2170,Howling Gale,"Howling Gale deals 1 damage to each creature with flying and each player.
Flashback {1}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
2171,Moment's Peace,"Prevent all combat damage that would be dealt this turn.
Flashback {2}{G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)"
2172,Muscle Burst,"Target creature gets +X/+X until end of turn, where X is 3 plus the number of cards named Muscle Burst in all graveyards."
2173,Refresh,"Regenerate target creature.
Draw a card."
2174,Vivify,"Target land becomes a 3/3 creature until end of turn. It's still a land.
Draw a card."
2175,Warping Wail,"({C} represents colorless mana.)
Choose one —
• Exile target creature with power or toughness 1 or less.
• Counter target sorcery spell.
• Create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this creature: Add {C}."""
2176,Dazzling Reflection,"You gain life equal to target creature's power. The next time that creature would deal damage this turn, prevent that damage."
2177,Immolating Glare,Destroy target attacking creature.
2178,Abstruse Interference,"Devoid (This card has no color.)
Counter target spell unless its controller pays {1}. You create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this creature: Add {C}."" ({C} represents colorless mana.)"
2179,Void Shatter,"Devoid (This card has no color.)
Counter target spell. If that spell is countered this way, exile it instead of putting it into its owner's graveyard."
2180,Comparative Analysis,"Surge {2}{U} (You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.)
Target player draws two cards."
2181,Gift of Tusks,"Until end of turn, target creature loses all abilities and becomes a green Elephant with base power and toughness 3/3."
2182,Grip of the Roil,"Surge {1}{U} (You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.)
Tap target creature. It doesn't untap during its controller's next untap step.
Draw a card."
2183,Overwhelming Denial,"Surge {U}{U} (You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.)
This spell can't be countered.
Counter target spell."
2184,Unity of Purpose,"Support 2. (Put a +1/+1 counter on each of up to two target creatures.)
Untap each creature you control with a +1/+1 counter on it."
2185,Unnatural Endurance,"Devoid (This card has no color.)
Target creature gets +2/+0 until end of turn. Regenerate it."
2186,Consuming Sinkhole,"Devoid (This card has no color.)
Choose one —
• Exile target land creature.
• Consuming Sinkhole deals 4 damage to target player or planeswalker."
2187,Kozilek's Return,"Devoid (This card has no color.)
Kozilek's Return deals 2 damage to each creature.
Whenever you cast an Eldrazi creature spell with mana value 7 or greater, you may exile Kozilek's Return from your graveyard. If you do, Kozilek's Return deals 5 damage to each creature."
2188,Reality Hemorrhage,"Devoid (This card has no color.)
Reality Hemorrhage deals 2 damage to any target."
2189,Fall of the Titans,"Surge {X}{R} (You may cast this spell for its surge cost if you or a teammate has cast another spell this turn.)
Fall of the Titans deals X damage to each of up to two targets."
2190,Tears of Valakut,"This spell can't be countered.
Tears of Valakut deals 5 damage to target creature with flying."
2191,Natural State,Destroy target artifact or enchantment with mana value 3 or less.
2192,Meditate,Draw four cards. You skip your next turn.
2193,Abeyance,"Until end of turn, target player can't cast instant or sorcery spells, and that player can't activate abilities that aren't mana abilities.
Draw a card."
2194,Akroma's Blessing,"Choose a color. Creatures you control gain protection from the chosen color until end of turn.
Cycling {W} ({W}, Discard this card: Draw a card.)"
2195,Aura Extraction,"Put target enchantment on top of its owner's library.
Cycling {2} ({2}, Discard this card: Draw a card.)"
2196,Chain of Silence,"Prevent all damage target creature would deal this turn. That creature's controller may sacrifice a land. If the player does, they may copy this spell and may choose a new target for that copy."
2197,Defensive Maneuvers,Creatures of the creature type of your choice get +0/+4 until end of turn.
2198,Piety Charm,"Choose one —
• Destroy target Aura attached to a creature.
• Target Soldier creature gets +2/+2 until end of turn.
• Creatures you control gain vigilance until end of turn."
2199,Sunfire Balm,"Prevent the next 4 damage that would be dealt to any target this turn.
Cycling {1}{W} ({1}{W}, Discard this card: Draw a card.)
When you cycle Sunfire Balm, you may prevent the next 1 damage that would be dealt to any target this turn."
2200,Unified Strike,Exile target attacking creature if its power is less than or equal to the number of Soldiers on the battlefield.
2201,Artificial Evolution,Change the text of target spell or permanent by replacing all instances of one creature type with another. The new creature type can't be Wall. (This effect lasts indefinitely.)
2202,Backslide,"Turn target creature with a morph ability face down.
Cycling {U} ({U}, Discard this card: Draw a card.)"
2203,Complicate,"Counter target spell unless its controller pays {3}.
Cycling {2}{U} ({2}{U}, Discard this card: Draw a card.)
When you cycle Complicate, you may counter target spell unless its controller pays {1}."
2204,Ixidor's Will,Counter target spell unless its controller pays {2} for each Wizard on the battlefield.
2205,Mage's Guile,"Target creature gains shroud until end of turn. (It can't be the target of spells or abilities.)
Cycling {U} ({U}, Discard this card: Draw a card.)"
2206,Psychic Trance,"Until end of turn, Wizards you control gain ""{T}: Counter target spell."""
2207,Spy Network,"Look at target player's hand, the top card of that player's library, and any face-down creatures they control. Look at the top four cards of your library, then put them back in any order."
2208,Standardize,Choose a creature type other than Wall. Each creature becomes that type until end of turn.
2209,Trickery Charm,"Choose one —
• Target creature gains flying until end of turn.
• Target creature becomes the creature type of your choice until end of turn.
• Look at the top four cards of your library, then put them back in any order."
2210,Wheel and Deal,"Any number of target opponents each discard their hands, then draw seven cards.
Draw a card."
2211,Death Pulse,"Target creature gets -4/-4 until end of turn.
Cycling {1}{B}{B} ({1}{B}{B}, Discard this card: Draw a card.)
When you cycle Death Pulse, you may have target creature get -1/-1 until end of turn."
2212,Fade from Memory,"Exile target card from a graveyard.
Cycling {B} ({B}, Discard this card: Draw a card.)"
2213,False Cure,"Until end of turn, whenever a player gains life, that player loses 2 life for each 1 life they gained."
2214,Feeding Frenzy,"Target creature gets -X/-X until end of turn, where X is the number of Zombies on the battlefield."
2215,Misery Charm,"Choose one —
• Destroy target Cleric.
• Return target Cleric card from your graveyard to your hand.
• Target player loses 2 life."
2216,Shade's Breath,"Until end of turn, each creature you control becomes a black Shade and gains ""{B}: This creature gets +1/+1 until end of turn."""
2217,Swat,"Destroy target creature with power 2 or less.
Cycling {2} ({2}, Discard this card: Draw a card.)"
2218,Break Open,Turn target face-down creature an opponent controls face up.
2219,Brightstone Ritual,Add {R} for each Goblin on the battlefield.
2220,Chain of Plasma,"Chain of Plasma deals 3 damage to any target. Then that player or that permanent's controller may discard a card. If the player does, they may copy this spell and may choose a new target for that copy."
2221,Commando Raid,"Until end of turn, target creature you control gains ""When this creature deals combat damage to a player, you may have it deal damage equal to its power to target creature that player controls."""
2222,Fever Charm,"Choose one —
• Target creature gains haste until end of turn.
• Target creature gets +2/+0 until end of turn.
• Fever Charm deals 3 damage to target Wizard creature."
2223,Pinpoint Avalanche,Pinpoint Avalanche deals 4 damage to target creature. The damage can't be prevented.
2224,Solar Blast,"Solar Blast deals 3 damage to any target.
Cycling {1}{R}{R} ({1}{R}{R}, Discard this card: Draw a card.)
When you cycle Solar Blast, you may have it deal 1 damage to any target."
2225,Primal Boost,"Target creature gets +4/+4 until end of turn.
Cycling {2}{G} ({2}{G}, Discard this card: Draw a card.)
When you cycle Primal Boost, you may have target creature get +1/+1 until end of turn."
2226,Run Wild,"Until end of turn, target creature gains trample and ""{G}: Regenerate this creature."""
2227,Vitality Charm,"Choose one —
• Create a 1/1 green Insect creature token.
• Target creature gets +1/+1 and gains trample until end of turn.
• Regenerate target Beast."
2228,Wirewood Pride,"Target creature gets +X/+X until end of turn, where X is the number of Elves on the battlefield."
2229,Enshrouding Mist,"Target creature gets +1/+1 until end of turn. Prevent all damage that would be dealt to it this turn. If it's renowned, untap it."
2230,Gideon's Phalanx,"Create four 2/2 white Knight creature tokens with vigilance.
Spell mastery — If there are two or more instant and/or sorcery cards in your graveyard, creatures you control gain indestructible until end of turn."
2231,Hallowed Moonlight,"Until end of turn, if a creature would enter the battlefield and it wasn't cast, exile it instead.
Draw a card."
2232,Psychic Rebuttal,"Counter target instant or sorcery spell that targets you.
Spell mastery — If there are two or more instant and/or sorcery cards in your graveyard, you may copy the spell countered this way. You may choose new targets for the copy."
2233,Unholy Hunger,"Destroy target creature.
Spell mastery — If there are two or more instant and/or sorcery cards in your graveyard, you gain 2 life."
2234,Fiery Conclusion,"As an additional cost to cast this spell, sacrifice a creature.
Fiery Conclusion deals 5 damage to target creature."
2235,Fiery Impulse,"Fiery Impulse deals 2 damage to target creature.
Spell mastery — If there are two or more instant and/or sorcery cards in your graveyard, Fiery Impulse deals 3 damage instead."
2236,Ravaging Blaze,"Ravaging Blaze deals X damage to target creature.
Spell mastery — If there are two or more instant and/or sorcery cards in your graveyard, Ravaging Blaze also deals X damage to that creature's controller."
2237,Aerial Volley,"Aerial Volley deals 3 damage divided as you choose among one, two, or three target creatures with flying."
2238,Vine Snare,Prevent all combat damage that would be dealt this turn by creatures with power 4 or less.
2239,Rally the Troops,"Cast this spell only during the declare attackers step and only if you've been attacked this step.
Untap all creatures you control."
2240,Warrior's Stand,"Cast this spell only during the declare attackers step and only if you've been attacked this step.
Creatures you control get +2/+2 until end of turn."
2241,Extinguish,Counter target sorcery spell.
2242,Mystic Denial,Counter target creature or sorcery spell.
2243,Remove,"Cast this spell only during the declare attackers step and only if you've been attacked this step.
Return target attacking creature to its owner's hand."
2244,Deep Wood,"Cast this spell only during the declare attackers step and only if you've been attacked this step.
Prevent all damage that would be dealt to you this turn by attacking creatures."
2245,Mise,"Choose a nonland card name, then reveal the top card of your library. If that card has the chosen name, you draw three cards."
2246,Booster Tutor,"Open a sealed Magic booster pack, reveal the cards, and put one of them into your hand. (Remove that card from your deck before beginning a new game.)"
2247,Orcish Catapult,Randomly distribute X -0/-1 counters among a random number of random target creatures.
2248,Excise,Exile target attacking creature unless its controller pays {X}.
2249,Mirror Strike,All combat damage that would be dealt to you this turn by target unblocked creature is dealt to its controller instead.
2250,Rhystic Shield,Creatures you control get +0/+1 until end of turn. They get an additional +0/+2 until end of turn unless any player pays {2}.
2251,Rethink,"Counter target spell unless its controller pays {X}, where X is its mana value."
2252,Withdraw,Return target creature to its owner's hand. Then return another target creature to its owner's hand unless its controller pays {1}.
2253,Steal Strength,Target creature gets +1/+1 until end of turn. Another target creature gets -1/-1 until end of turn.
2254,Rhystic Lightning,"Rhystic Lightning deals 4 damage to any target unless that permanent's controller or that player pays {2}. If they do, Rhystic Lightning deals 2 damage to the permanent or player."
2255,Snag,"You may discard a Forest card rather than pay this spell's mana cost.
Prevent all combat damage that would be dealt by unblocked creatures this turn."
2256,Vitalizing Wind,Creatures you control get +7/+7 until end of turn.
2257,Wild Might,Target creature gets +1/+1 until end of turn. That creature gets an additional +4/+4 until end of turn unless any player pays {2}.
2258,Long-Term Plans,"Search your library for a card, then shuffle and put that card third from the top."
2259,Muddle the Mixture,"Counter target instant or sorcery spell.
Transmute {1}{U}{U} ({1}{U}{U}, Discard this card: Search your library for a card with the same mana value as this card, reveal it, put it into your hand, then shuffle. Transmute only as a sorcery.)"
2260,Sewers of Estark,"Choose target creature. If it's attacking, it can't be blocked this turn. If it's blocking, prevent all combat damage that would be dealt this combat by it and each creature it's blocking."
2261,Turnabout,"Choose artifact, creature, or land. Tap all untapped permanents of the chosen type target player controls, or untap all tapped permanents of that type that player controls."
2262,Rebuff the Wicked,Counter target spell that targets a permanent you control.
2263,Dismal Failure,Counter target spell. Its controller discards a card.
2264,Spellshift,Counter target instant or sorcery spell. Its controller reveals cards from the top of their library until they reveal an instant or sorcery card. That player may cast that card without paying its mana cost. Then the player shuffles.
2265,Venarian Glimmer,Target player reveals their hand. You choose a nonland card with mana value X or less from it. That player discards that card.
2266,Ovinize,"Until end of turn, target creature loses all abilities and has base power and toughness 0/1."
2267,Piracy Charm,"Choose one —
• Target creature gains islandwalk until end of turn. (It can't be blocked as long as defending player controls an Island.)
• Target creature gets +2/-1 until end of turn.
• Target player discards a card."
2268,Cradle to Grave,Destroy target nonblack creature that entered the battlefield this turn.
2269,Dash Hopes,"When you cast this spell, any player may pay 5 life. If a player does, counter Dash Hopes.
Counter target spell."
2270,Imp's Mischief,Change the target of target spell with a single target. You lose life equal to that spell's mana value.
2271,Midnight Charm,"Choose one —
• Midnight Charm deals 1 damage to target creature and you gain 1 life.
• Target creature gains first strike until end of turn.
• Tap target creature."
2272,Treacherous Urge,Target opponent reveals their hand. You may put a creature card from it onto the battlefield under your control. That creature gains haste. Sacrifice it at the beginning of the next end step.
2273,Kor Dirge,All damage that would be dealt this turn to target creature you control by a source of your choice is dealt to another target creature instead.
2274,Fatal Frenzy,"Until end of turn, target creature you control gains trample and gets +X/+0, where X is its power. Sacrifice it at the beginning of the next end step."
2275,Timecrafting,"Choose one —
• Remove X time counters from target permanent or suspended card.
• Put X time counters on target permanent with a time counter on it or suspended card."
2276,Dead // Gone,Dead deals 2 damage to target creature.
2277,Healing Leaves,"Choose one —
• Target player gains 3 life.
• Prevent the next 3 damage that would be dealt to any target this turn."
2278,Brain Freeze,"Target player mills three cards.
Storm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)"
2279,Warriors' Lesson,"Until end of turn, up to two target creatures you control each gain ""Whenever this creature deals combat damage to a player, draw a card."""
2280,Spell Swindle,"Counter target spell. Create X Treasure tokens, where X is that spell's mana value. (They're artifacts with ""{T}, Sacrifice this artifact: Add one mana of any color."")"
2281,Assassin's Blade,"Cast this spell only during the declare attackers step and only if you've been attacked this step.
Destroy target nonblack attacking creature."
2282,Expose to Daylight,Destroy target artifact or enchantment. Scry 1.
2283,Moonlace,Target spell or permanent becomes colorless.
2284,Sanguine Sacrament,You gain twice X life. Put Sanguine Sacrament on the bottom of its owner's library.
2285,Boiling Blood,"Target creature attacks this turn if able.
Draw a card."
2286,Clutch of the Undercity,"Return target permanent to its owner's hand. Its controller loses 3 life.
Transmute {1}{U}{B} ({1}{U}{B}, Discard this card: Search your library for a card with the same mana value as this card, reveal it, put it into your hand, then shuffle. Transmute only as a sorcery.)"
2287,Spoils of Adventure,"This spell costs {1} less to cast for each creature in your party. (Your party consists of up to one each of Cleric, Rogue, Warrior, and Wizard.)
You gain 3 life and draw three cards."
2288,Dominaria's Judgment,"Until end of turn, creatures you control gain protection from white if you control a Plains, from blue if you control an Island, from black if you control a Swamp, from red if you control a Mountain, and from green if you control a Forest."
2289,Ertai's Meddling,"X can't be 0.
Target spell's controller exiles it with X delay counters on it.
At the beginning of each of that player's upkeeps, if that card is exiled, remove a delay counter from it. If the card has no delay counters on it, the player puts it onto the stack as a copy of the original spell."
2290,Imps' Taunt,"Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)
Target creature attacks this turn if able."
2291,Aura Blast,"Destroy target enchantment.
Draw a card."
2292,Pollen Remedy,"Kicker—Sacrifice a land. (You may sacrifice a land in addition to any other costs as you cast this spell.)
Prevent the next 3 damage that would be dealt this turn to any number of targets, divided as you choose. If this spell was kicked, prevent the next 6 damage this way instead."
2293,Surprise Deployment,"Cast this spell only during combat.
You may put a nonwhite creature card from your hand onto the battlefield. At the beginning of the next end step, return that creature to your hand. (Return it only if it's on the battlefield.)"
2294,Confound,"Counter target spell that targets a creature.
Draw a card."
2295,Ertai's Trickery,Counter target spell if it was kicked.
2296,Gainsay,Counter target blue spell.
